Index,City,State,Population Density (Persons/Square Mile),2016 Population,Area,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",OtherCity,OtherState,County,Zip,Country,Source
53,Bakersfield," California",2648,376380,142,35.384337,-119.020562,1,place,,,,,Bakersfield,CA,"Kern County",93301,US,"TIGER/Line® dataset from the US Census Bureau"
54,Aurora," Colorado",2338,361710,155,39.739249,-104.862881,1,place,,,,,Aurora,CO,"Arapahoe County",80010,US,"TIGER/Line® dataset from the US Census Bureau"
55,"Urban Honolulu"," Hawaii",5813,351792,61,21.316548,-157.845053,1,place,,,,,Honolulu,HI,"Honolulu County",96813,US,"TIGER/Line® dataset from the US Census Bureau"
56,Anaheim," California",7043,351043,50,33.844983,-117.952151,1,place,,,,,Anaheim,CA,"Orange County",92801,US,"TIGER/Line® dataset from the US Census Bureau"
57,"Santa Ana"," California",12256,334217,27,33.74822,-117.858473,1,place,,,,,"Santa Ana",CA,"Orange County",92701,US,"TIGER/Line® dataset from the US Census Bureau"
58,"Corpus Christi"," Texas",2028,325733,161,27.797802,-97.399067,1,place,,,,,"Corpus Christi",TX,"Nueces County",78401,US,"TIGER/Line® dataset from the US Census Bureau"
59,Riverside," California",4002,324722,81,33.99504,-117.373184,1,place,,,,,Riverside,CA,"Riverside County",92501,US,"TIGER/Line® dataset from the US Census Bureau"
60,Lexington," Kentucky",1123,318449,284,38.016674,-84.486043,1,place,,,,,Lexington,KY,"Fayette County",40502,US,"TIGER/Line® dataset from the US Census Bureau"
61,"St. Louis"," Missouri",5030,311404,62,38.631501,-90.19231,1,place,,,,,"Saint Louis",MO,"St. Louis City",63101,US,"TIGER/Line® dataset from the US Census Bureau"
62,Stockton," California",4979,307072,62,37.672196,-121.298794,1,place,,,,,Stockton,CA,"San Joaquin County",95201,US,"TIGER/Line® dataset from the US Census Bureau"
63,Pittsburgh," Pennsylvania",5484,303625,55,40.47441,-79.950968,1,place,,,,,Pittsburgh,PA,"Allegheny County",15201,US,"TIGER/Line® dataset from the US Census Bureau"
64,"St. Paul"," Minnesota",5818,302398,52,44.951483,-93.090649,1,place,,,,,"Saint Paul",MN,"Ramsey County",55101,US,"TIGER/Line® dataset from the US Census Bureau"
65,Cincinnati," Ohio",3834,298800,78,39.166759,-84.53822,1,place,,,,,Cincinnati,OH,"Hamilton County",45201,US,"TIGER/Line® dataset from the US Census Bureau"
66,Anchorage," Alaska",175,298192,1705,61.220018,-149.855702,1,place,,,,,Anchorage,AK,"Anchorage Municipality",99501,US,"TIGER/Line® dataset from the US Census Bureau"
67,Henderson," Nevada",2719,292969,108,35.927901,-114.972061,1,place,,,,,Henderson,NV,"Clark County",89009,US,"TIGER/Line® dataset from the US Census Bureau"
68,Greensboro," North Carolina",2269,287027,127,36.069144,-79.765156,1,place,,,,,Greensboro,NC,"Guilford County",27401,US,"TIGER/Line® dataset from the US Census Bureau"
69,Plano," Texas",3996,286057,72,33.056756,-96.730831,1,place,,,,,Plano,TX,"Collin County",75023,US,"TIGER/Line® dataset from the US Census Bureau"
70,Newark," New Jersey",11648,281764,24,40.735642,-74.173988,1,place,,,,,Newark,NJ,"Essex County",07102,US,"TIGER/Line® dataset from the US Census Bureau"
71,Lincoln," Nebraska",3146,280364,89,40.865142,-96.823133,1,place,,,,,Lincoln,NE,"Lancaster County",68501,US,"TIGER/Line® dataset from the US Census Bureau"
